GeoFIPS,Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1067,Henry County,258363,281464,275912,293131,319936,324833,312851,318345,304848,300140,317366,319085,358098,361261,388411,403721,422115,440075,459124,476045,545830,614304,633099
1069,Houston County,3025914,3209421,3341028,3552893,3691594,3896129,4010268,3935976,3974010,3980787,4046034,4193426,4471418,4688563,4870639,5179739,5410140,5573832,5843331,6042742,6690574,7230333,7703029
1071,Jackson County,1221055,1263873,1285621,1454975,1538058,1579633,1604472,1559683,1429977,1495649,1479487,1528337,1594105,1606493,1522414,1494316,1508968,1622445,1613239,1550803,1714676,1898397,2057095
1073,Jefferson County,29015477,30388048,31342004,33962422,35804318,36708983,37678276,38468590,36579128,37469585,39135071,40519093,40425469,41019726,41985290,43064960,44607663,46679111,48225067,48491643,53490269,58260973,61990780
1075,Lamar County,283238,268973,261140,288787,314055,311685,311397,295896,265109,272870,289249,312560,315976,322962,324022,332697,343759,352369,358387,359815,395196,425429,448833
1077,Lauderdale County,1739331,1744105,1808260,1961654,2070804,2153754,2228604,2250332,2293876,2323847,2348561,2459612,2551166,2521541,2556873,2569843,2651431,2716027,2778691,2840606,3134692,3444931,3736194
1079,Lawrence County,551511,559057,680098,890299,615821,579298,728083,763274,885983,889079,827251,795330,735626,648740,549357,500245,534109,572523,588446,611799,689202,800955,817562
1081,Lee County,2310987,2486428,2697720,3085179,3337503,3566440,3785544,3939502,3993168,4144170,4479081,4814202,4971512,5162758,5549989,5803297,6138724,6252206,6643673,6661911,7394950,7964355,8799349
1083,Limestone County,1882964,2013441,2214573,2352281,2460648,2638520,2658025,2701953,2641803,2839011,2942704,3103407,3245727,3365296,3485422,3599408,3782933,3842835,4313345,4407750,5316173,5978437,6494484
1085,Lowndes County,274911,238766,292547,337319,327625,365110,393183,362121,376548,441985,483946,456013,458034,458964,420131,428609,437070,433688,399499,393414,442312,497207,519259
1087,Macon County,323277,318915,334502,374636,392753,412860,431249,452759,461867,448672,466120,465500,508228,491978,476597,521803,550614,554043,566902,561268,592632,632088,682080
1089,Madison County,11305535,11850447,12655861,13867751,14922635,15727136,16677605,17464983,18172362,19171497,19624995,19903859,20483332,20861681,21665553,22588484,23737673,25219264,26926239,27870185,29855509,32716506,36321455
1091,Marengo County,485958,493752,497838,550861,597132,626050,622667,594283,633611,638215,620543,651883,683654,717478,702598,719712,722874,773500,804285,841282,918904,987252,1058127
1093,Marion County,604800,619594,622931,724350,797266,817354,790277,730301,734681,739331,725487,793583,815826,824399,859624,850620,870465,913213,914510,942612,1100557,1275480,1303389
1095,Marshall County,1990736,2024321,2112008,2342917,2433689,2466805,2567434,2519041,2501553,2556637,2638704,2806793,3033614,3003533,3258414,3286348,3469332,3616017,3745928,3765875,4190668,4658889,4896602
1097,Mobile County,11285931,11574014,12085314,12811628,13882919,15334044,15764469,16366688,16353734,16716623,17513026,17729526,18122359,18519469,18710279,19127805,19734787,20752659,21383376,21433585,24506837,26469764,28332816
1099,Monroe County,640575,620835,640228,734724,795088,850069,794751,772786,726568,720660,664487,642374,678133,668075,683663,691518,724511,719197,696797,681295,749547,797210,809448
1101,Montgomery County,8645465,9016026,9452045,10068612,10791676,11335521,11646714,11699794,11450470,11753152,11918122,12183933,12446787,12593544,13204812,13786112,14011331,14269732,14738873,14696032,15686474,16909375,18390810
1103,Morgan County,3230321,3237393,3476113,3933452,4050029,4346099,4496523,4453093,4337078,4456215,4398781,4555171,4750196,5028891,5141599,5347614,5556105,5818952,5882881,6047103,6718367,7560724,8023596
1105,Perry County,139296,138326,155013,162320,180855,187399,188241,203562,190374,213699,204828,211095,225444,202669,198012,204530,209961,207988,209787,213333,214412,221268,262033
1107,Pickens County,277283,271965,286476,324160,347296,313648,331193,311091,330758,337268,303605,358773,430980,443773,427938,419402,452493,453238,462869,467462,516743,525270,538386
1109,Pike County,666221,708579,763235,869302,923891,973629,1032009,1092179,1066944,1162870,1123097,1152215,1167110,1255782,1299497,1351382,1392115,1434204,1463097,1453362,1733416,1898433,1982236
1111,Randolph County,317265,340840,345101,401289,405130,407621,419202,402180,382049,403087,355100,390267,466530,486451,496650,475099,483214,503888,497015,492773,576453,637261,643574
1113,Russell County,878335,862958,844267,929202,972128,1052541,1053960,1067779,1148884,1217766,1211924,1241782,1321849,1365126,1362205,1431526,1495039,1535131,1573873,1611190,1790893,2016377,2171720
1115,St. Clair County,954154,1016984,1066637,1178369,1260261,1292429,1348078,1384899,1348875,1435320,1502002,1758540,1785914,1838572,1943143,1983312,2020338,2133098,2213746,2140772,2338247,2499014,2701537
1117,Shelby County,4281974,4646861,5060178,5583168,6589639,7209889,8087118,8151439,7920354,8093693,8377630,8650997,9243101,9758959,10670259,10998676,11639599,12169306,12774915,13016563,14377695,15707855,16447755
1119,Sumter County,227873,229516,238606,255164,274580,274725,289002,261513,279147,300658,316299,335683,347843,351547,327860,331168,324042,324656,329378,343651,361190,387573,431366
1121,Talladega County,1757278,1903221,2106853,2444914,2645113,2696831,2666256,2525226,2140972,2392430,2473581,2681138,2814956,2853523,2989469,3080507,3170439,3253853,3276186,3153323,3338773,3595130,3825674
1123,Tallapoosa County,779868,741457,810481,930629,1035963,931753,954787,933104,890874,1015042,1085745,1152010,1143581,1208072,1300212,1381612,1318572,1380205,1480820,1418726,1560492,1683919,1752891
1125,Tuscaloosa County,5183202,5508055,6159317,6880576,7674449,7938826,8611115,8628013,7671576,8282516,9602336,9377651,9439446,9259232,9219349,9469144,10228417,10711426,11311432,10554529,11556558,12917965,13584024
1127,Walker County,1223958,1283430,1401680,1520677,1647180,1688821,1695731,1782287,1820075,1918285,1865082,1779279,1790199,1860008,1878515,1946681,2005235,2069775,1918077,1810531,1912606,2212701,2315300
1129,Washington County,561791,510086,545062,605832,581530,662342,729013,691132,760297,832841,785783,746266,797726,870446,789031,832036,841373,869378,872646,865119,1022331,1160301,1220758
1131,Wilcox County,292767,287561,271364,322375,344843,371651,357754,337332,393176,379722,342408,339837,381853,379042,381666,410926,430526,467746,445461,408890,397419,411080,448587
1133,Winston County,541377,544789,541377,607591,646689,650928,616579,577576,548660,599749,616117,628905,689071,671624,691699,693067,719959,753106,820105,883019,1041712,1116091,1084214
2000,Alaska,28660864,29884530,32115792,35389483,40459934,44951700,49456363,55246713,50165906,53653965,56912297,58320660,57532958,56587381,51574180,51121833,53550915,54761954,54549561,51283445,58943537,66271866,68056035
2013,Aleutians East Borough,133146,105864,125540,157145,159894,159315,178226,196359,209360,130259,118445,121856,140978,145177,222052,250218,312665,347292,314254,261702,305203,318095,365752
2016,Aleutians West Census Area,227899,240007,285762,304508,395868,359340,348302,330469,325169,313273,337801,363700,389162,408860,429542,450554,795250,686484,785885,954525,939348,874447,1000609
2020,Anchorage Borough,12450368,12838702,13524960,14271123,15374883,15924654,16746901,18069660,18919381,20126190,20670391,21100371,21157643,21538191,22479108,22993398,23195622,23898283,24256250,23681886,25641548,28000450,30019193
2050,Bethel Census Area,364107,404879,432789,446304,462342,455646,462396,467329,505753,550044,605588,629301,658825,671982,685818,694762,711083,749055,737112,729169,730177,766087,824739
2060,Bristol Bay Borough,63586,66432,77272,82325,98660,105546,112929,105907,113414,114992,111565,110485,122377,127893,124414,133151,133015,146917,140690,133352,159140,168161,181696
2063,,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1291960,1426984,1635885,1641291
2066,,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),108227,132650,143508,157225
2068,Denali Borough,124934,129135,128569,144042,156512,164178,174376,205432,203107,197360,190464,195157,252371,264565,266921,262520,271161,281002,286602,214071,283943,341937,373256
2070,Dillingham Census Area,147704,152239,159020,162412,174174,181613,183808,189920,209984,230430,229986,234480,244902,263863,264460,268518,276888,286004,275312,263920,265356,277809,315880
2090,Fairbanks North Star Borough,3943912,3514657,3686735,3862775,4469104,4916411,5217896,5796264,5751669,6069225,5805648,5598413,5590528,5609629,5639118,5719167,5765988,5834518,5961120,5847708,6508091,6874732,7198784
2100,Haines Borough,60150,61634,62802,69587,75973,78996,82741,82426,86815,90434,89644,89601,100017,100425,108084,107521,112647,121669,124943,95022,106836,113485,128674
2105,,(NA),(NA),(NA),(NA),(NA),(NA),(NA),54232,52830,59275,63566,75260,84017,89059,91448,86204,88063,95536,95681,84114,94790,119173,136579
2110,Juneau Borough,1303574,1314529,1388207,1461606,1574260,1826880,2004326,1950660,2054077,2243135,2349270,2330426,2372656,2389772,2331856,2363086,2511152,2530923,2532184,2461510,2768752,3006068,3098486
2122,Kenai Peninsula Borough,1751502,1779636,1993645,2196996,2085501,2276979,2422788,2417203,2393977,2620564,2753800,2715405,2895967,3217133,2945555,2676262,2810764,2721015,2814964,2752203,3030486,3352170,3468878
2130,Ketchikan Gateway Borough,550143,552237,565773,577145,629174,651546,728174,770496,805944,817055,835790,841705,881019,886865,927508,917197,924927,949261,1003062,870211,948519,1031524,1101967
2150,Kodiak Island Borough,460438,462490,497998,512621,541639,554955,572170,605972,643257,690402,723253,746177,787999,819354,812935,776996,820003,819182,833929,825023,847264,933912,1009981
2158,,82569,87599,97521,100390,99981,97453,103732,109441,117076,120980,130130,137405,139027,154696,150647,158973,153416,162817,168003,166818,168655,177941,180304
2164,Lake and Peninsula Borough,53564,57194,53185,54968,58082,65518,126058,83163,66978,71281,75290,78225,83331,86245,88559,84521,90141,102181,91333,83702,114260,99764,111245
2170,Matanuska-Susitna Borough,1047971,1175160,1287109,1386471,1542230,1551226,1638431,1701784,1824829,2048500,2182333,2299640,2363367,2530914,2617716,2733419,2647075,2769885,2991189,3139496,3427605,3732968,4046188
2180,Nome Census Area,211641,233107,245490,257939,271607,280468,342063,384686,328852,394987,412955,387872,400474,425807,433652,408229,447593,463910,465113,453914,473643,532163,562119
2185,North Slope Borough,3652673,4280226,4950102,6670996,9558210,12024076,14237464,18472210,12500916,13368892,15697618,16025354,14150331,12080436,6377500,5369572,6669857,6846658,5653402,4117616,7404016,10349374,8559061
2188,Northwest Arctic Borough,301475,269538,276200,322937,372571,544986,619094,516410,573745,696422,712205,594583,597609,605792,514513,524411,638056,644852,620062,661139,727357,805190,807211
2195,,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),151895,175016,189820,189062,184621,185146,186504,173865,170550,181542,181947,177785,194618,188668,209686
2198,,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),164916,186447,199448,205735,235753,242567,223077,223885,241824,265621,269946,258024,272699,297013,306336
2201,Prince of Wales-Outer Ketchikan Census Area,128576,132190,141991,151029,163977,159073,151426,163283,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2220,Sitka Borough,303973,313493,334879,336397,357908,368503,377635,385353,411211,448980,474049,488997,524352,523368,520554,484813,479694,511699,523008,473690,564108,612414,677909
2230,,(NA),(NA),(NA),(NA),(NA),(NA),(NA),64853,64824,73201,73142,89245,91977,89003,83524,88194,93466,99553,103491,66167,78209,91005,102620
2232,Skagway-Hoonah-Angoon Census Area,105582,107132,112099,107632,121961,129438,131944,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2240,Southeast Fairbanks Census Area,245794,181803,206178,225381,326828,518942,702089,654954,692283,779073,782298,613534,614719,592628,518236,551516,647536,624189,580963,665404,871700,927824,935882
2261,Valdez-Cordova Census Area,412529,977092,1030160,1083081,923158,1058850,1237756,930264,620190,578950,568211,1552197,2043229,2151858,2153341,2217351,2138740,2182658,2304803,(NA),(NA),(NA),(NA)
2275,,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),61210,70084,73127,78701,88706,94564,93302,96767,94295,101069,93345,89878,92795,101150,116114
2280,Wrangell-Petersburg Census Area,235371,228164,225906,213752,231317,241935,236844,225660,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2282,Yakutat Borough,22172,22908,23591,26116,27483,30025,34988,32064,29295,31582,32495,35172,41944,41256,35661,29377,27126,29992,33439,35905,42199,45347,44606
2290,Yukon-Koyukuk Census Area,275512,196482,202310,203807,206636,225145,281805,280258,282952,356932,423964,392601,295059,250333,248575,277383,282318,308186,307529,319303,322585,353603,373764
4000,Arizona,172899646,180844454,194317966,207246252,227997816,246061113,261152784,261005791,244862188,250527038,261691422,272703341,278679501,286675965,298942157,313787090,333098997,353670978,375376652,388956687,436778582,484052236,522767226
4001,Apache County,1507223,1479175,1583851,1603091,1695242,1860744,1932045,2218971,2301864,2557990,2686475,2565191,2662103,2523196,2524512,2545019,2640484,2752407,2526553,2567397,2700885,2808268,2770542
4003,Cochise County,2598072,2690589,2977800,3132791,3396164,3612145,3939230,4082656,4198252,4420121,4541138,4418428,4327762,4268104,4439351,4583630,4585054,4703080,4885687,5348746,5458610,5860392,6080882
4005,Coconino County,3800666,3909988,4076325,4322202,4691124,5072815,5685933,5652559,5589750,5947604,6452476,6301387,6660319,6711052,7008745,7124979,7898455,8077292,8014911,7533522,8431454,9108700,9967529
4007,Gila County,970757,998246,1047934,1142853,1272965,1499535,1728437,1769540,1769557,1984079,2270979,1864067,1935287,1800891,1639879,1522961,1690566,1713503,1712477,1828681,2165447,2238954,2267153
4009,Graham County,399139,428244,468779,492985,533924,595526,743289,695406,650591,714008,795750,870467,730259,771699,773149,856926,970128,1020464,1089889,1275028,1619014,1693384,1742008
4011,Greenlee County,428470,409235,466509,621473,933220,1276878,1386910,1698870,1237964,1471957,1759211,1511448,1480329,1604036,1191797,1050130,1405891,1362416,1361649,1612251,2328873,2297893,2241143
4012,La Paz County,370488,390800,428904,471176,511575,524108,568699,656279,583999,576421,651634,582728,621806,557440,617120,672883,664070,679289,717120,726422,857009,850980,860168
4013,Maricopa County,121927591,127581730,137247474,147483456,162827808,176161010,185252275,183107470,169595161,171651576,179203282,189684710,194419662,201483150,212503612,223771028,237581202,253570040,271682288,282133113,318374757,356155577,383872915
4015,Mohave County,2907166,3248904,3422431,3776262,4119114,4330600,4543797,4487273,4358872,4435841,4541656,4570338,4825285,4931085,5047371,5364252,5323399,5569874,5876822,6305113,7326211,8123065,8845478
4017,Navajo County,1951579,2016603,2167474,2176176,2410068,2561906,2669577,2698202,2713677,2742563,2943863,2926413,2889082,2756147,2696177,2760656,2901492,3117312,2953790,3017961,3248562,3523133,3703029
4019,Pima County,25008595,25521574,27451459,27776784,29936840,31563567,33775636,34720795,33319819,34707091,35362331,36926140,36860109,37619042,38267709,40263391,42330595,44785905,47379098,48426650,52691673,56493284,62169929
4021,Pinal County,3106039,3444569,3748455,4028142,4441647,4908532,5985484,6351166,6128056,6394998,7143203,7365282,7348553,7511220,7518621,7853984,8486830,9153348,9472710,10053512,11245784,12574586,14256537
4023,Santa Cruz County,952573,970376,1123085,1068101,1153879,1207833,1270586,1323607,1309628,1386426,1473061,1530550,1537917,1549101,1621195,1683501,1848358,2010864,2025498,2090388,2321260,2520102,2649761
4025,Yavapai County,3433504,3642506,3942550,4346086,4926310,5462342,5592569,5835873,5484771,5430851,5533820,5551619,5823599,6164434,6290094,6628143,7229041,7525710,7709912,8054674,9258930,9896269,10755479
4027,Yuma County,3537786,4111917,4164937,4804674,5147935,5423572,6078318,5707125,5620229,6105513,6332542,6034574,6557428,6425369,6802826,7105607,7543432,7629476,7968248,7983228,8750112,9907647,10584673
5000,Arkansas,71099645,74453133,79009701,85928629,91133445,96073676,98324985,100206657,97783931,101699332,105697647,108835982,114021074,117388715,118573554,120987446,123882586,129213792,132625794,136198371,154052451,168605787,178606419
5001,Arkansas County,568354,610185,682200,742354,709370,753093,741693,791234,858034,850014,865968,908884,1031816,985033,1012280,1046839,981778,1032654,1069494,1121695,1289436,1320142,1429348
5003,Ashley County,616174,632845,615990,651918,690169,772925,792637,802791,792678,829934,868806,844659,873925,854508,834468,866748,792416,847134,901757,836711,935226,1073448,1188372
5005,Baxter County,782301,820510,831157,869193,942542,1009327,1053844,1104903,1033491,1065611,1087767,1078580,1127829,1203225,1222608,1273858,1389921,1539567,1662213,1678094,1817937,2016622,2184391
5007,Benton County,5342278,5970473,6381746,7134283,7893197,8384082,8512418,8725398,8735156,9239394,9698216,10603434,11610725,12387735,13248995,13600416,14670030,15365798,16130842,17188118,19479793,21982236,23669514
5009,Boone County,812332,853217,853671,937672,996224,1071723,1087668,1107238,1025619,1083077,1116194,1112691,1120781,1190579,1173719,1235544,1291432,1353987,1362906,1382614,1654902,1784371,1870146
5011,Bradley County,206297,220498,250261,279770,285538,271132,268089,251736,233903,266348,261589,294267,302330,315731,323526,323752,330093,358227,346420,359892,423589,440052,438310
5013,Calhoun County,228666,232250,250361,275190,287208,315037,308316,364455,365346,344713,323882,256001,279994,290604,344271,348874,337969,340369,336468,364284,399514,389800,422651
5015,Carroll County,526690,565652,598111,714194,717289,694303,653090,656840,602090,647186,653798,656934,732246,834066,805168,789309,832740,859304,875592,876224,1020548,1165287,1104325
5017,Chicot County,209270,203780,230852,244019,241682,238007,260651,249603,261481,264542,298342,315687,324877,269329,235038,272860,268710,268517,273696,289031,345071,345297,366980
5019,Clark County,546961,550166,579195,601565,626348,624863,659799,662781,658233,675935,666363,703674,753554,779469,747056,763031,778588,839427,828301,844037,946924,981584,1040240
5021,Clay County,285561,303996,354456,356485,344431,349211,338806,356057,385616,380995,363787,378954,404479,352146,310259,308491,343738,346214,336378,358883,429733,448228,481032
5023,Cleburne County,395223,443067,433390,465171,489038,502880,530039,598888,597946,766058,864012,814720,827116,858317,695821,648501,625173,630635,659664,644868,731565,808907,838142
5025,Cleveland County,86275,91809,86184,114715,113320,98868,112074,120478,91223,90717,79555,109659,123049,141630,141034,127611,132301,148757,118779,100938,153315,215854,187423
5027,Columbia County,530366,573867,604437,676933,726276,832332,852401,891800,745753,798207,870570,884058,886370,925409,875846,847324,866831,944675,910076,900782,1134145,1271085,1307160
5029,Conway County,415513,425139,427325,469906,482682,508206,618797,814504,782059,897774,970498,929436,947585,966175,774894,742271,696477,711610,695946,708334,856716,998317,968175
5031,Craighead County,2199468,2363057,2557867,2760957,2933860,3030335,3042360,3155170,3214255,3461127,3694836,3757369,3988339,4026285,4208985,4352264,4517827,4761145,5054450,5250892,5976594,6519477,6970418
5033,Crawford County,996800,1023414,1094943,1179331,1275383,1388462,1374652,1397716,1413988,1505475,1511853,1545289,1609239,1653052,1627371,1656336,1695496,1742622,1785843,1839881,1994060,2116250,2200027
5035,Crittenden County,1121424,1057540,1138548,1194206,1252166,1366408,1380242,1359783,1335319,1343148,1418792,1392029,1539716,1588706,1621964,1619542,1752818,1822847,1872742,1846920,1991463,2184627,2304648
5037,Cross County,319710,309520,361501,415370,386044,410573,380399,389236,391941,389194,412147,436173,479162,455668,418842,427561,458347,440236,454205,479028,536256,571906,634975
5039,Dallas County,155630,162404,169408,182519,201591,195861,203210,202659,186927,193126,188400,193647,204880,215317,220115,231303,230865,236698,231378,268390,319300,318801,324651
5041,Desha County,319810,322790,384259,379759,384976,392796,416198,436860,459846,496996,533942,516070,566366,513170,554717,589045,523616,520213,543575,568660,653741,681877,736101
5043,Drew County,345867,358096,390677,422002,440721,448481,456360,473444,449705,493113,535236,551546,577326,572381,600479,632403,611774,623299,629319,630563,706318,756539,794804
5045,Faulkner County,1920127,2038697,2131539,2348959,2526080,2848594,3068001,3178007,3267595,3530356,3693443,3738815,3756054,3817776,3754162,3755290,3773660,3962761,4032232,4139749,4500071,4952419,5390228
5047,Franklin County,314161,320132,364194,428639,463691,482535,467805,480093,393525,396472,403112,406333,422896,445751,426059,402310,410297,436060,434550,456045,484805,587990,583098
5049,Fulton County,109642,118913,127226,137910,147616,158656,155943,157387,163773,166904,174818,171634,174704,181244,171674,174659,173320,186990,193000,202791,226981,246397,241250
5051,Garland County,1953219,2077589,2178212,2306739,2452627,2550503,2605922,2576204,2575473,2637965,2797557,2942244,2989311,3073490,3121812,3230485,3297461,3448231,3591371,3665174,3955346,4272659,4606197
5053,Grant County,206022,217546,240511,253854,267521,270694,287771,279179,277988,291810,308217,335619,357373,380625,397171,402448,407151,415168,442320,444507,494917,562461,617839
5055,Greene County,802432,855903,919045,993669,1130519,1282638,1435117,1393478,1046543,1144304,1284154,1367061,1380247,1378865,1377212,1373501,1391745,1419558,1549293,1535232,1839944,1940135,2150238
5057,Hempstead County,524960,555839,605152,711102,698602,626794,557636,543791,546205,618768,667262,700139,841990,902788,858135,889250,997465,988120,965382,1009838,1119709,1278565,1245561
5059,Hot Spring County,492172,529770,535824,617914,663347,759059,762807,752782,752119,741835,760706,852988,851888,824239,923036,1021501,1040555,1069667,1023651,1051518,1265378,1515835,1537199
5061,Howard County,438867,485197,497012,581276,594700,547750,536061,528156,457439,464244,468852,512078,583519,623472,633158,613550,636251,659839,584099,586985,709104,821433,752835
5063,Independence County,1288901,1290072,1357769,1441829,1545385,1546469,1533471,1565042,1579311,1709169,1692494,1664349,1783964,1866748,1651845,1775677,1814024,1985173,1856010,1769487,2052551,2350063,2525225
5065,Izard County,178869,196236,204383,221641,223779,224393,218432,224799,213652,229329,245012,271486,290999,303922,287220,282790,278836,294557,287172,282867,325211,372366,382043
